id,text,Class
1469,RT @SexyIsntSexist: #WageGap #Sorted http://t.co/IcfnjO2h1u,sexism
1509,"Viden og muslimske gejstlige = mængder, der ikke skærer hinanden. #Islam",racism
1541,"Menuerne ser ud som om de er lavet af en 5-årig lille pige... i dette tilfælde bare en 5-årig piges mentale alder, tror jeg #MKR",sexism
1620,"RT @DaveGreene11: @YesYoureSexist vi er i Amerika. Det er amerikanske kvinder, der klager over sådan.",sexism
1679,Jeans var lidt stramme i aften Andre ???? #mkr @mykitchenrules #mkr2015,sexism
1726,".@Shermertron @HumanistFury ...at det er racistisk at have forskellige standarder for hvide/sorte?  Ikke ""lige"" overhovedet...? Nope. @jennykutner @Salon",sexism
1734,"RT @steloudean: Artikler: The Muslim Takeover of West Bengal http://t.co/tEeVCNjEWg Hvor end islam når en kritisk masse i Vesten, erobres...",racism
1772,"@sajid_fairooz @IsraeliRegime Derefter angreb og besejrede han den tredje Medina-stamme, halshuggede alle mændene og slavebandt kvinder og børn.",racism
1801,RT @ChrisHiHoSilver Er der andre der er nødt til at slå tv'et fra når den kvindelige kommentator er på dagens kamp? #notsexist,sexism
1850,RT @sudixitca: .@VSRamchandra Islam = Nazisme. Hvordan kan den reformeres? @manonive,racism
1877,".@chendanhek Ironisk nok er det nødvendigt at give mænd lige meget fædreorlov, hvis kvinder skal opnå lige løn...men feminister hader mænd, så det gør de ikke",sexism
1885,"@ardiem1m @MaxBlumenthal @oldkhayyam Nej, det er muslimerne, der har foretaget den etniske udrensning i 1400 år. Israel er ved at sætte en stopper for det",racism
1929,@ibnabdulmajid De indsatte i Aushwitz affyrede ikke raketter mod nogen. Og muslimerne elskede nazisterne.  Fail!,racism
1938,@LifeInKhilafah Daeshs prisliste for yezidiske og kristne sexslaver. http://t.co/H4ELrfxhSm,racism
2029,Alt er dekonstrueret. Så de er ikke gode til erektioner? #MKR,sexism
2079,"RT @Slowgun66: Jeg er enig i, at voldtægt kun er voldtægtsforbrydernes skyld, men når jeg råder piger til at tage forholdsregler mod potentielle voldtægtsforbrydere, kalder de...",sexism
2124,"@NNNdabbour64 Og ingen har ret til en tro, der nægter andre mennesker deres tro. http://t.co/pli8wePBsf",racism
2178,"Jeg har ikke chikaneret nogen @Anti_Natal_ som @Twitter kan se, men du overtræder TOS ved at forsøge at organisere en blokeringskampagne som @Support ser",sexism
2188,"@G_Abdulazeez Dumme kommentar. ISIS er sponsoreret af islam, og de opfører sig præcis som terrorprofetien Muhammed.",racism
2198,"@MaDaSaSaHaTtEr_17 @buttercupashby Der er ingen kærlighed og respekt i Koranen. Den er fuld af had, bigotteri, sexisme og opfordring til mord.",racism
2221,RT @CausticDefiler: @MT8_9 vil bare efterlade dette her til dig http://t.co/jYQMQJUHua,sexism
2234,"@ElizabethHobso6 @naomirwolf Er det kun en mandlig ting? Når jeg klikker på ""Female friendly/female choice"" porno, er det det samme som hovedindholdet.",sexism
2235,"@Femitheist @Audmum1 @ktonieskacze Man kunne ikke udforme et meget dårligere sæt incitamenter, nej.",sexism
2236,"Og Kat og Andre bor ... Igen . Jeg håber, at hun snart bruger sine ni liv op .  #mkr",sexism
2283,"@TheInfoIslam Vi har alle set Cantlies video om, hvordan Kobane var helt indtaget af Daesh, og der var kun oprydning tilbage.  Vi griner stadig.",racism
2285,"@cwgusu Dit eksempel er 42 år gammelt, er du klar over det?",sexism
2339,"@Salon @TheMuslimGuy For det første er de kretiner på Salon 100 % uvidende om, at der ikke er noget, som ISIS gør, som Muhammed ikke også gjorde.",racism
2371,"@RaniaKhalek @MaxBlumenthal Endnu en taqiyya-løgner, der opdigter noget vrøvl til gavn for Muhammeds ønske om at udrydde jøderne.",racism
2470,"na na na na na na na na na na na na na na na na na na na na na na BANTHEMMM @Jordypordy88 Jeg er ikke sexistisk, men kvindelige komikere er alle lort!!!! #banthem",sexism
2489,"@SirajZarook @BilalIGhumman @OdiniaInvictus @IsraeliRegime ....er ikke destruktive og umenneskelige med vilje, ligesom islam.",racism
2497,RT @AlfredFam: @YesYoureSexist @danieImao hold kæft bøsse. jeg skider i munden på dig,sexism
2567,"RT @Rildom1: @urmindblown vindskærmviskere blev ikke opfundet af kvinder først var Robert A Douglass Jeg er ikke sexistisk, men det faktum er forkert",sexism
2656,RT @sneekinsneekout: @Madasatrain69 @OZzzSue @Muslim_Patrol Being nice 2 islam is like hugging a serial killer and thinking he will stop bur...,racism
2679,"Mener du sådan en som denne? @S_R_Fernando Held og lykke med at købe en barberkniv, der er skarp nok til at barbere din behårede numse, armhuler og ben #trademarkfeminist",sexism
2686,Jeg burde starte et drikkespil..  Hver gang pigerne komplimenterer sig selv kranie. Jeg ville ikke være i god form tomz tho 😳 #MKR2015 #mkr,sexism
2717,"@buellerishere @KellyTurner99 Og de bruger alle den samme barbariske Koran og hadiths, og de misbruger alle kvinder.",racism
2784,"sæt en pose på dit hoved kat, ingen ønsker at se din glæde over andres ulykke. du er forfærdelig, vær sød at gå #thedooristhatway 👉 #mkr",sexism
2785,RT @salmonfarmer1: Twisted Logic in the world of Islam http://t.co/6nALv2HPc3,racism
2796,"RT @Shermertron: Har du nogensinde haft en kvindelig dommer, der har været forarget over at du ikke har betalt børnebidrag til en andens barn?http://t.co/wdEv96Lr3....",sexism
2827,"@dankmtl Det er svært at blive dummere end dig. Stadig ingen ændring i forhold, der er begrundet i noget som helst, som Israel har gjort.",racism
2859,"@MEAN_MARINE En af de første ting, som profeten Muhammed gjorde i sin islamiske søgen, var at begynde at myrde jøder.  Det er aldrig rigtig stoppet",racism
2926,"@BilalIGhumman @98Halima @johnnygjokaj @cdnKhadija @rfrankh53 De dummeste argumenter er dem, der rationaliserer islams barbari.",racism
2953,"Kald mig en misandrist, men mænd i isenkræmmerbutikker amirite @iMudassir Kald mig sexistisk, men shopping med kvinder kan tage århundreder &gt;.&lt;",sexism
2978,"@LifeInKhilafah Det er dig, der sidder i et sort telt med en AK i hånden, så lad være med at tale til mig om had.",racism
2998,@Dezzantibus Shhh...ingen antydninger.  De vil kopiere fra dit papir.,sexism
3046,"@NNNdabbour64 Det er ikke, hvad jeg tror. Det er, hvad jeg allerede har bevist for dig flere gange.",racism
3049,@taimiiSays Islam er had og Jihad. http://t.co/bp228IR12B,racism
3082,"RT @TRobinsonNewEra: http://t.co/F32WeECVnm
EN MILLION eller flere ulovlige fremmede muslimske invandrere vil strømme ind i Italien og resten af Euro....",racism
3096,"@greenlinerzjm Du burde angribe alle, der følger en religiøs kult af had og mord som islam.",racism
3148,"Kat, du er et forkasteligt individ #MKR",sexism
3155,"RT @PatSherlock89: De promo bimbos er helt sikkert irriterende, men Kat og Andre virker som virkelig forkastelige mennesker... groft #mkr",sexism
3198,"RT @christoph_welsh Kald mig sexistisk, men jeg kan ikke lide kvindelige ingeniørlærere",sexism
3203,"Er der andre, der kan se ligheden mellem Kat og Freddy Krueger, eller er det bare mig?
#mkr",sexism
3239,Jeg undskylder på vegne af min generation for Nikki og Katie. Vi er ikke alle sammen så tumpede. #MKR #NikkiogKatie,sexism
3252,@_Jihad10 @Rayandawlah_ Muslimer har disse vrangforestillinger om at producere Algebra. Men mange andre kommer dem i forkøbet. http://t.co/AsMiQZFvAG,racism
3296,@hansthecat Men islam hader ytringsfrihed.,racism
3297,RT @wiemanindenwald: @MT8_9 Feminisme er et snorkeproblem.,sexism
3303,RT @morninggloria: . @MT8_9 hvor kan jeg købe dette i løs vægt,sexism
3353,"@HillaryGuess @riwired @izrinhariri @AtharHKhan Islam angreb og erobrede 2/3 af kristendommen, før der var nogen korstog.",racism
3388,"@harmlesstree2 Og de løgnagtige muslimer hævdede, at alle deres angreb kun blev udført, fordi de var forebyggende.",racism
3410,"RT @WLeM32 Kald mig sexistisk, men jeg kan ikke lide pigerefere til fodbold.....",sexism
3519,"@obinoavey ""huler af frafaldne""? Mord for religionens skyld.  Kan man blive mere dum og umenneskelig?",racism
3677,"RT @Bruns_ProV1 Jeg er ikke sexistisk, men mændenes færdigheder og evner er bare ligaer over kvindernes. Meget mere underholdende. #Olympics",sexism
3725,"Nogen har stemt strategisk 😂😂😂😂 nej Kat, du kan bare ikke lave mad!!! #mkr",sexism
3736,"@roisin_morgan Så er du en total idiot, for muslimer dræber mennesker rundt om i verden. De er i krig med alle religioner på jorden",racism
3764,@clouds789 @sergioba66 @ParaKeta Madrassa math.  Daesh kastede mandskab på Kobane i et langt misforhold til dens størrelse.,racism
3783,@MaxBlumenthal @Ajzionts Har Bloomenthal nogensinde skrevet om de endeløse angreb fra hans muslimer på egyptiske koptere? http://t.co/xeGlOFsNWJ,racism
3848,@harmlesstree2 Og vi ville alle tilbede terrorismens gud.,racism
3948,"RT @Pro_Equality_: @anotherfallow min onkel blev skudt 5 gange og døde, fordi han blev ved med at benægte sin kvindelige stalker.  Stop med at opføre sig som mænd li....",sexism
3960,Kat din dumme kælling #mkr,sexism
4010,@ibnHlophe @eeviewonders @CTFleaMarkets Vi ønsker ikke at lære dig noget. Vi ønsker at stoppe jeres Taquiyya løgn om det.,racism
4022,RT @jimboslice_13: @ThelmaSleaze @YesYoureSexist HAHAHAHA. Trist folk ikke har humor i disse dage. I det mindste er du lidenskabelig omo...,sexism
4028,".@Mich_McConnell Det er fint, har haft det samme argument 100vis af gange...du vil til sidst argumentere for at abort ikke har noget med at gøre med at få et barn eller ej",sexism
4072,RT @HotTakeGamer: Den 'feministiske' modstand mod #GamerGate er blot endnu et eksempel på privilegerede kvinders damseling for at opnå moralsk autoritet den...,sexism
4088,"RT @HarryIsaacJr: .@SexyIsntSexist #GamerGate Måske siger folk, at skolesystemet fejler, fordi skolesystemet fejler. @...",sexism
4092,"@ingyusarms Koranforfatteren forestillede sig Gud som egoistisk og som en gud, der ønskede at blive tilbedt og bukket for, fordi han var usofistikeret.",racism
4103,"Jeg sværger ved gud at kat og Andre er de værste deltagere nogensinde, kat er sådan en lille kælling, en 1 er så uretfærdigt #mkr",sexism
4125,"RT @AlexNew93 Jeg er ikke sexistisk, men jeg kan bare ikke udstå disse fucking hærdede feministiske wankers",sexism
4239,@ZamiraTwitt Erdogan er en fascistisk islamistisk afskum. Kvinders beskæftigelse er faldet med 30% under ham. Vold mod kvinder er steget.,racism
4244,RT @rothbarbarian: @MT8_9 @MaddyBaylor @GenAnonCoward @cuckooduuude http://t.co/DagAiOapd1 Måske skulle du lære intro statistik b4 du lyver ht...,sexism
4257,RT @CjSajulga Kvinder er hensynsløse bilister. #Notsexist #realtalk,sexism
4262,RT @_dylanmills im not sexist but it seems like women never have valid opinions when it comes to sports,sexism
4362,"@NewEraJihadi @ShamiAnalyst Det er Deash-våben, kusse. http://t.co/wInj8aWbla",sexism
4386,"@SirajZarook @BilalIGhumman @OdiniaInvictus @IsraeliRegime Jesus myrdede ikke, voldtog, røvede, gik i krig og ejede ikke slaver som Muhammed.",racism
4434,"RT @KobyKulater: @chezkig1 @georgegalloway Galloway luk din meningsløse mund, din tøs. Du kan ikke engang tænke klart efter at være blevet købt ud ...",racism
4457,RT @AshleyLukee: mit had til kat bliver stærkere og stærkere for hver gang jeg ser hende. #MKR,sexism
4479,"RT @lismarie56: Åh, du er ydmyget Kat? Vi har været flove for dig lige siden showet startede #mkr #MKR2015",sexism
4527,"@Qoloob4 @Vandaliser @sajid_fairooz @IsraeliRegime Skulle de sige ""Gud er stor""? Har de brændt dem i et bur?",racism
4538,"""Din pølse var lidt for kort"" - Colin har garanteret fået det at vide før #MKR",sexism
4543,"Det ansigt, som Kat lige trak, var afskyeligt. #mkr",sexism
4552,RT @SergeantKozi: @radioclashed @MT8_9 @CatsAreHorrible @thisonesakillaa @HoneyBadgerBite @naughty_nerdess Det tog ikke meget http://t.c...,sexism
4592,"RT @Newmanzaa: Der er noget galt, når en pige vinder Wayne Rooney street striker #NotSexist",sexism
4629,Zebraunderbukser #MKR chic i pink kjole,sexism
4638,"@theheraldsun Det afhænger af, om disse to sumpede svin kom fra et hus, der lærte dem integritet og moral som børn ... Desværre ikke 😕 #toxickat #mkr",sexism
4651,@IrinaLV143 Alle bliver lidt fedtede på #mkr,sexism
4692,Disse tøser laver reklame i porno. 'Fede piger har også brug for at blive kneppet'. #MKR,sexism
4738,RT @FactsVsOpinion: @MT8_9 @MGTOWKnight Vi har diskuteret dette i en time. Folk perverterer betydningen af ord. Især uvidende pe...,sexism
4752,@lilbeastunleash fordi det er det eneste de suger for at få deres job #MKR,sexism
4795,"RT @LynnD_P: #QuestionsForMen Har du nogensinde taget seks uger fri fra arbejde, tilfældigt besluttet om du vil tilbage og derefter valgt at arbejde delvist...",sexism
4819,RT @PeterTownsend7: #isis #quran #Islam 'Ingen tvang i religionen' (Koranen 2:256)? Think again! http://t.co/58fFleMt1n http://t.co/fXZDSr...,racism
4859,"RT @Lavita_ Jeg er stadig ikke fan af denne dame, der kommenterer under kampe på Sabc... #NotSexist",sexism
4920,"Boooring @antrooney10 Er ikke sexistisk, men kvinder kan ikke spille fodbold!",sexism
4921,"@yousufpoosuf @HillaryGuess @riwired @izrinhariri @AtharHKhan Den eneste grund til, at der er fred, er fordi hinduerne har magten.",racism
4944,"@OdiniaInvictus @SirajZarook @BilalIGhumman @IsraeliRegime Nej, muslimer følger en religion, der er baseret på terrorisme, ikke jøder.",racism
4963,"RT @vpouty_: ""@animekittens: Citat dette tweet med et billede af din valentine"" http://t.co/5tomIE9Jcp",sexism
5040,"@jsydneym Vi fandt hurtigt ud af, at de fleste af disse ""spørgsmål"" ikke søgte efter svar.",sexism
5042,"@HumanistFury @ListenToRaisin De er for det meste grænseområder, ja.  W/ mucho NPD blandet ind i... &amp; masser af bipolaritet.",sexism
5053,"Spis dine ord Kat, lad være med at blive kvalt i dem nu !!!! Hahaha gotta love Karma #mkr",sexism
5174,"@wilytone @jmorgan_jamie @SenTomCotton @GOP Islamisterne var der hele tiden.  Det var kun diktatorerne, der holdt dem i ro.",racism
5240,"@NNdabbour64 Enhver muslim, der er tvunget til at forblive i islam ved loven om frafald for mord, er tvunget.",racism
5297,@Kristinaa_Egger Kat fik lige hvad hun fortjente #whack #mkr,sexism
5313,"Børn i Pakistan, journalister i Paris, shoppere i Australien, ezidier i Irak.  Det kommer alt sammen fra #islamens dødskult.",racism
5330,"Det var irriterende ""@raachel_19: If she calls her own self pretty one more time.. I'm gonna vom. #MKR""",sexism
5401,"@thisonesakillaa Jeg blokerer kun, hvis de spammer, eller hvis jeg tror, at de vil forsøge at ""Janet"" mig.",sexism
5417,"@ValiantRook ingen idé om, hvad det er...",sexism
5473,"@jukes303 I modsætning til dig læser jeg, før jeg fremsætter antagelser.  Jeg har læst hele Koranen og mange af Haditherne.  Det er derfor jeg ved, at det er modbydeligt.",racism
5512,"Mad er ikke for dig, lol @KING_CONNAR Kommer nedenunder og fire piger laver mad, ikke sexistisk, men klager ikke",sexism
5583,"@BenjaminNorton @uygaraktas I betragtning af den endeløse strøm af mord mod mindretal af muslimer, hvem bekymrer sig om det.",racism
5604,"RT @uberfeminist: Ja! Jeg fortæller betjente at en Star Trek skuespiller, en Jeopardy vinder &amp; en Vikings vaskeægte trolling alle, men de gør intet!....",sexism
5645,@pondereroftruth @sara771987 Måske.,sexism
5691,"@PartTimeHobo @RedHurricane24 @JudgyBitch1 Meh....hvis Myers genvinder formen, vil du glemme, at han nogensinde har eksisteret.  Armia og Lemieux er store aktiver.",sexism
5694,@islamujahideen Islam er en evig undertrykkelse. Og jeg takker ISIS for at hjælpe verden med at dræbe islam.,racism
5699,Se kameraet panorere ind på kusseansigtet #mkr,sexism
5702,"""Stilfuld og elegant"" er en måde at udtrykke det på... #mkr",sexism
5732,"Jeg håber virkelig, at Kat bliver ramt af en bus, derefter væltet omkuld, derefter kørt omkuld igen, derefter væltet omkuld end....  #mkr",sexism
5763,@CassandraYoung Nævn den pågældende stat.,sexism
5814,"@DianH4 @ExposeFalsehood Alle kæmpede mod fascistiske, diktatoriske eller islamolunatiske regimer. For eksempel .....",racism
5840,"Det er utroligt, hvordan journalisterne falder over sig selv for at undskylde islams barbari. Ikke en eneste har læst Koranen.",racism
5862,"@PoliticalAnt @Lithobolos @ZaibatsuNews Så du mener altså, at du kan hade alle mennesker med en bestemt ideologi - men ikke hvis det er islam.",racism
5932,"@ryxter5 Im ikke sexistisk, men den kvinde, der hader mænd stirrer på deres bryster er dem, der bærer toppe 2 størrelser 2 små!! Faktisk irriterer mig!",sexism
5993,"RT @PK_APOSTOLI: LoL - pølse, pik og afslut med en tærte! - bedst egnet tema for disse to #MKR",sexism
6074,"@AMohedin Igen springer du over det, du ikke kan lide. Der står, at mænd har ansvaret for kvinder, og at mænd er kvinder overlegen. http://t.co/5mAnQbibj1",sexism
6079,"@manimeister15 Vent, er du klar over, at du lige har gjort det samme som det tweet, du skrev, sagde var forkert...?",sexism
6144,"Jeg har aldrig mødt en sexist, der kan stave til ""ægte"". @Dylahoogaah Kald mig sexist eller hvad som helst, men jeg har aldrig mødt en virkelig sjov pige.",sexism
6155,"@Ammaawah @jm111t Kom nu, Ammarrah, hav lidt stolthed og værdighed.  Tro på dig selv.  Lad ikke islam gøre dig mindreværdig.",sexism
6159,"RT @SimpsonMatt: Kim Kardashian har haft ægteskaber, der ikke strakte sig så længe som #MKR",sexism
6224,"Sikke et mærkeligt sted for en asterisk. @JoeyTDB Jeg er ikke sexistisk, men *de fleste piger er fucking dumme.",sexism
6231,RT @Arsenick3: @YesYoureSexist at sige at noget forstærker en stereotype er ikke det samme som stereotypering #JogOn,sexism
6276,RT @Sam_Evs23: Im not sexist but most women today will take up all the best seat in the pubs/clubs when they have no clue what's going on #....,sexism
6372,RT @FakeToniaTodman: Vil Kat lave meth til morgenmad? #MKR,sexism
6396,"@Love___Egypt @washingtonpost Det er småting sammenlignet med det, muslimer gør hver dag. http://t.co/748SXvjf2U",racism
6447,"@AmandaSheils1 @Colonel_Shami Du er en religion, der har erklæret krig mod hele menneskeheden for 1400 år siden.",racism
6473,"@discerningmumin Desværre er den virkelige islam, som den er defineret i Koranen og Hadith, for tilbagestående og umenneskelig selv for de fleste muslimer i ME.",racism
6532,"RT @jeffhumps: En kvinde, der laver college play-by-play, lyder bare forkert. Jeg er ikke sexistisk, men seriøst, kom tilbage i køkkenet.",sexism
6569,"#MKR2015 #MKR hvorfor bliver de ved med at sige, at de er så smukke",sexism
6633,"ÅH, MIN GUD. KAT ER SÅDAN EN FUCKING BITCH. SÅ MEGET HATE #mkr",sexism
6678,"seriøst colin, hold op med at smile/smile. det klæder dig bedre at rynke brynene. #mkr",sexism
6699,"@The_Loki_Jotunn @OKPaulista De er ligeglade. Hver dag indser jeg, at feminister er helt tilfredse med at ødelægge andres liv for deres egen vindings skyld.",sexism
6744,@PoliticalAnt @Lithobolos @ZaibatsuNews Det burde være sandt. Men ISIS eksisterer for at følge religionen nøjagtigt.,racism
6769,"RT @FakeToniaTodman: Hvis Kat bliver, kan vi se hendes nedtur i meth-induceret sindssyge. #mkr",sexism
6776,#KCA #VoteJKT48ID AusPolQuestTime: Meh Ash og Camilla ... er ikke den store fan af dem... mest vildledte #mkr #mkr2015,sexism
6790,"RT @Gillistheone: Jeg er ikke sexistisk, men jeg har brug for en rengøringsdame. Det er enten at betale nogen eller købe ordineret medicin for rygsmerter jeg kan gøre wi...",sexism
6847,RT @xKilluminati_ Jeg er ikke sexistisk når jeg siger at kvinder ikke kan køre bil. de kan bogstaveligt talt ikke,sexism
6874,"@NNNdabbour64 Jeg ved, at de er tvunget ind i islam ved at blive hjernevasket og aldrig få et valg.",racism
6889,@New_Babylonia Dette er propaganda. Shia-militserne er religiøse fanatikere og fascister ligesom ISIS - bare lidt mindre ekstreme.,racism
6905,"RT @g56yu: Mænd skal bevise, at en kvinde sagde 'ja' i henhold til nye strenge voldtægtsregler - via @Telegraph http://t.co/Ul9legKnYy",sexism
6964,"RT @stephenpeel1: Det er National Kit Kat dag i Hviderusland. Gå ud og forkæl din kæreste eller kone og spørg dem, om de ""har lyst til en finger""! #notsexist",sexism
6967,"RT @TIME: Redaktør af 'Charlie Hebdo', der blev dræbt i terrorangrebet i Paris, byggede sin karriere på trods http://t.co/zE8yO2E0W1",racism
6992,"Der må være så mange mennesker, der gerne vil være din ven! @faded_A_wray420 Sendte en masse snapchat af mit vasketøj og bad kun kvinder om at folde det. #NotSexist",sexism
6999,Kat er en sociopat #mkr,sexism
7018,"Jeg føler, at jeg ser @mykitchenrules i 3D, når Kat er på - øjnene springer ud af hendes hoved som en mops. #MKR #KatAndAndAndre",sexism
7022,"@Ammaawah @jm111t Det er kun, fordi de ikke følger islam.  Islam siger, at kvinder skal blive hjemme. http://t.co/UQLoWj1GjS",racism
7065,"@no2_tweet Koranen er et usammenhængende stykke skidt, der er skabt til mentale dværge. #Islam",racism
7146,"#mkr Dumme blondiner med smukke ansigter ? Det har I halvt ret i, piger :)",sexism
7204,RT @HeidiL_RN: At tillade muslimer at pervertere vores amerikanske forfatningsmæssige rettigheder via indenlandske moskéer og islamundervisning er skandaløst. #BanIslam #c....,racism
7214,@MGTOWKnight @FactsVsOpinion ....cue the NAFALT in 3..2...1....,sexism
7242,@shaner38 @scarmichael18 Ville hellere.,sexism
7243,"@roisin_morgan Jeg står udenfor og kigger ind, og der er ikke skyggen af tvivl om, at det er muslimerne i Palæstina, der er terroristerne.",racism
7257,"RT @of_The_Guild Det pisser mig virkelig af, når anime piger ikke har store bryster #NotSexist",sexism
7266,"@98Halima @cdnKhadija @rfrankh53 @BilalIGhumman @johnnygjokaj ISIS halshugger folk, fordi Muhammed halshuggede 600 jøder på én dag.",racism
7275,"@KeeganNYC @syedmuhammad555 Hvorfor ønsker næsten halvdelen af alle muslimer at dræbe folk på grund af, hvem de har sex med? http://t.co/wzMsFRJ70N",racism
